Document identifier,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29
BOD+c4-0001,0.5351792232,0.0006208543,0.0002044443,7.19761461039959E-005,0.1367289901,0.0009601304,0.0003553,0.0012797754,0.0002433576,0.0002775033,0.0002043727,0.0005175832,0.0004538579,0.0007813851,0.0002831513,0.0003828489,0.1848969527,0.000313782,0.1188698986,0.0008381769,0.0003072364,0.0123084426,0.0006350489,0.0005486036,0.0003112375,0.0003346047,0.0006737344,0.0008310494,0.0003123412,0.0002741372
BOD+c4-0002,0.5306242434,0.0012074774,0.0003976165,0.0001399838,0.0202546163,0.0018673233,0.0006910103,0.0024889894,0.0004732976,0.0005397062,0.0003974772,0.0010066291,0.0008826919,0.001519688,0.0005506908,0.0007445891,0.0005510528,0.0006102634,0.212288534,0.0016301403,0.0005975332,0.1751165348,0.0012350839,0.0010669596,0.0006053148,0.0006507607,0.001310322,0.0394108494,0.0006074613,0.0005331597
BOD+c4-0003,0.3176411645,0.0011226196,0.0003696732,0.0001301462,0.0188311833,0.0017360935,0.0006424482,0.3888373872,0.0004400357,0.0005017773,0.0003695437,0.0009358862,0.000820659,0.001412889,0.0005119899,0.0006922616,0.0005123265,0.0005673759,0.2325080231,0.0015155789,0.0005555404,0.004686701,0.0187175276,0.0009919769,0.0005627751,0.0006050272,0.0012182366,0.0015026911,0.0005647708,0.0004956908
BOD+c4-0004,0.3404423224,0.0010319653,0.0003398212,0.0001196366,0.0011600368,0.0015958997,0.000590569,0.0667291358,0.0004045017,0.0004612575,0.0003397022,0.0008603112,0.0007543888,0.0012987948,0.0004706455,0.0006363598,0.0004709549,0.0005215589,0.2298829217,0.162898022,0.0005106791,0.1173616193,0.0656574909,0.0009118724,0.0005173296,0.0005561698,0.001119861,0.0013813452,0.0005191642,0.0004556626
BOD+c4-0005,0.4391476169,0.0004378968,0.0001441973,5.07657290021185E-005,0.0004922417,0.0006771927,0.0002505978,0.0009026425,0.0001716434,0.0001957267,0.0001441468,0.0757500427,0.0140264728,0.0005511213,0.0001997103,0.0002700284,0.0344657436,0.0002213146,0.4264995338,0.0005911772,0.0002166979,0.0018281271,0.0004479084,0.0003869374,0.00021952,0.0002360011,0.0004751938,0.0005861501,0.0002202984,0.0001933526
BOD+c4-0006,0.0007945501,0.0006394953,0.0002105827,7.41372100586392E-005,0.0007188595,0.021005441,0.0003659678,0.0013182003,0.0002506644,0.0002858352,0.000210509,0.0005331235,0.0004674848,0.000804846,0.0002916528,0.2606086225,0.0002918445,0.0003232032,0.0023400367,0.0008633429,0.0003164611,0.0226862416,0.0707118065,0.0005650753,0.0003205824,0.0003446511,0.0907681365,0.2010208312,0.0403546851,0.2805131298
BOD+c4-0007,0.0012229274,0.0009842757,0.0003241172,0.0001141079,0.0011064288,0.0631386715,0.0005632774,0.0020289008,0.0003858087,0.0004399417,0.0003240037,0.0008205541,0.0315277878,0.0012387744,0.0004488958,0.0006069521,0.0004491909,0.0004974565,0.4195131789,0.0013288095,0.0004870794,0.4662330603,0.0010067792,0.0008697326,0.0004934226,0.0005304678,0.0010681096,0.0013175099,0.0004951723,0.0004346054
BOD+c4-0008,0.0044308024,0.0035661407,0.0011743128,0.0004134256,0.2272522389,0.0055149168,0.0020408166,0.0073509336,0.001397828,0.0015939579,0.0011739015,0.0029729591,0.0026069255,0.0044882175,0.0016263996,0.0021990551,0.0016274688,0.0018023401,0.5711580071,0.060625306,0.0017647431,0.0706987696,0.0036476731,0.003151138,0.0017877251,0.0019219441,0.00386988,0.0047734852,0.0017940646,0.0015746236
BOD+c4-0009,0.0011519484,0.0009271481,0.0003053054,0.000107485,0.0010422113,0.0014338034,0.0005305846,0.0019111428,0.0003634163,0.0004144074,0.0728555507,0.0007729289,0.0877381879,0.0011668755,0.0004228418,0.0005717244,0.0004231198,0.0004685839,0.1339832477,0.0447818964,0.0875192319,0.3811324803,0.0009483454,0.000819253,0.0004647842,0.0004996793,0.1315967502,0.0447712526,0.0004664324,0.0004093807
BOD+c4-0010,0.011476375,0.0092367846,0.0030416284,0.0010708279,0.010383111,0.0142843773,0.00528599,0.0190399081,0.0036205628,0.0041285657,0.0030405631,0.0077003644,0.0067522881,0.0116250879,0.0042125939,0.0056958488,0.0042153634,0.0046683037,0.0337991765,0.0124700092,0.0045709223,0.0385616366,0.0094479646,0.0081618718,0.7274189445,0.0049780941,0.0100235104,0.0123639697,0.0046468689,0.0040784872
